google_index,page_rank,nb_hyperlinks,web_traffic,domain_age,nb_www,safe_anchor,length_url,ratio_digits_url,shortest_word_host,domain_registration_length,longest_words_raw,phish_hints,length_hostname,char_repeat,shortest_word_path,nb_slash,domain_in_title,shortest_words_raw,nb_dots,ratio_digits_host,longest_word_host,nb_hyphens,ip,nb_qm,status
1,0,23,0,2316,0,0.0,50,0.06,4,1337,12,0,21,0,5,5,1,4,2,0.0,12,0,0,0,phishing
1,0,0,0,2935,1,0.0,34,0.0,3,352,15,0,23,3,2,4,1,2,2,0.0,15,0,0,0,phishing
0,2,219,927214,3932,1,0.0,27,0.148148148,3,451,11,0,19,3,0,3,1,3,2,0.210526316,11,0,0,0,legitimate
0,5,147,26017,8759,1,92.75362319,63,0.0,3,70,8,0,14,3,2,7,0,2,3,0.0,4,2,0,0,legitimate
0,6,77,1040,5647,0,0.0,66,0.0,4,926,9,0,16,0,4,4,1,4,2,0.0,7,4,0,0,legitimate
1,0,13,0,1184,0,0.0,40,0.1,7,277,7,0,11,0,1,5,1,1,2,0.0,7,0,0,0,phishing
0,4,59,4672316,3476,0,50.0,48,0.0,5,541,9,0,16,0,3,4,1,3,1,0.0,6,3,0,0,legitimate
1,0,51,5707171,3993,0,100.0,126,0.095238095,3,25,17,0,50,7,2,4,1,2,4,0.0,13,1,1,1,phishing
1,5,21,0,7296,0,0.0,41,0.0,8,373,19,0,32,0,0,3,1,8,2,0.0,19,0,0,0,phishing
0,4,115,2203390,6989,1,90.32258065,36,0.0,3,315,19,0,27,3,0,3,1,3,2,0.0,19,0,0,0,legitimate
0,5,68,5964,4845,1,20.0,72,0.0,3,634,8,0,24,5,2,5,1,2,2,0.0,6,7,0,0,legitimate
1,0,51,5707171,3993,0,100.0,68,0.161764706,3,25,15,0,42,3,2,4,1,2,4,0.0,13,0,1,0,phishing
1,0,31,0,-1,1,0.0,163,0.398773006,3,0,18,1,14,14,1,3,1,1,4,0.0,7,9,1,0,phishing
0,4,95,390047,1170,1,50.0,26,0.0,3,290,10,0,18,3,0,3,0,3,2,0.0,10,0,0,0,legitimate
1,1,36,0,1237,0,0.0,64,0.34375,3,224,32,0,17,3,6,4,1,3,2,0.0,9,0,1,0,phishing
1,5,21,0,5627,0,25.0,36,0.25,1,217,11,0,28,1,0,3,1,1,4,0.321428571,11,0,1,0,phishing
1,0,3,9264543,3767,0,0.0,61,0.0,10,251,10,0,14,1,3,6,1,3,2,0.0,10,0,0,0,phishing
0,7,105,13,9316,0,0.0,66,0.212121212,5,911,21,0,17,3,3,4,0,3,2,0.0,7,0,1,1,legitimate
0,4,16,0,7849,1,45.45454545,35,0.0,3,125,19,0,26,3,0,3,1,3,2,0.0,19,0,0,0,legitimate
0,2,417,0,3920,1,0.0,113,0.0,20,97,20,0,24,4,2,10,1,2,5,0.0,20,0,0,0,phishing
0,8,27,0,5159,0,8.333333333,41,0.0,2,1049,6,0,34,3,0,2,1,2,2,0.0,6,4,0,0,legitimate
0,3,160,74862,-1,1,17.39130435,23,0.0,1,78,3,0,12,3,3,3,1,1,2,0.0,3,1,0,0,legitimate
0,7,183,5828226,5230,0,22.80701754,31,0.0,5,248,7,1,24,2,0,2,1,5,2,0.0,7,1,0,0,legitimate
1,1,23,0,3125,0,100.0,84,0.0,26,162,26,4,30,0,2,7,1,2,2,0.0,26,2,0,0,phishing
1,4,1,544886,5026,0,0.0,29,0.0,4,88,8,0,17,0,4,3,1,4,2,0.0,8,0,0,0,phishing
1,2,22,0,2300,1,60.0,98,0.295918367,3,257,32,2,26,4,2,9,1,2,2,0.0,10,2,1,0,phishing
0,2,35,1671658,2580,0,0.0,15,0.0,5,0,5,0,8,1,0,2,0,5,1,0.0,5,0,0,0,legitimate
0,7,265,7698,5825,0,76.66666667,65,0.0,4,3305,13,0,22,3,3,4,0,3,2,0.0,13,0,0,0,legitimate
1,4,26,0,8019,0,0.0,131,0.030534351,2,381,40,0,27,6,1,7,1,1,2,0.0,10,1,0,1,phishing
0,6,279,607,7839,1,25.0,50,0.0,3,197,10,0,23,4,7,4,0,3,2,0.0,7,1,0,0,legitimate
1,0,7,0,2306,0,0.0,51,0.0,13,250,14,0,32,1,10,4,1,10,2,0.0,14,0,0,0,phishing
0,6,420,6431,-1,1,94.68085106,45,0.133333333,3,0,9,0,11,4,3,5,1,3,3,0.0,3,0,0,0,legitimate
1,0,13,0,1500,0,0.0,159,0.270440252,10,325,40,0,14,4,3,8,1,3,2,0.0,10,0,1,1,phishing
1,6,43,11657,2739,1,0.0,44,0.227272727,3,1278,14,0,22,3,4,4,1,3,2,0.136363636,14,1,1,0,phishing
1,2,64,1508317,134,0,100.0,103,0.077669903,4,231,44,0,19,2,2,4,1,2,3,0.0,10,1,0,1,phishing
1,5,0,0,7802,0,0.0,46,0.0,4,517,7,0,20,1,2,5,1,2,4,0.0,7,0,0,0,phishing
0,7,253,12,7133,0,63.63636364,45,0.0,2,902,10,0,16,0,4,4,1,2,2,0.0,9,0,0,0,legitimate
1,2,91,0,1690,1,50.0,51,0.0,3,137,16,0,26,4,4,5,1,3,3,0.0,16,0,0,0,phishing
1,0,184,0,1588,1,9.677419355,38,0.0,3,237,11,0,19,4,2,4,1,2,3,0.0,11,0,0,0,phishing
1,2,30,0,5767,1,100.0,81,0.283950617,3,77,32,0,27,8,2,5,1,2,2,0.0,19,0,1,0,phishing
0,5,83,2190,7615,0,71.42857143,112,0.0,10,133,16,0,31,0,2,4,1,2,2,0.0,16,10,0,0,legitimate
0,10,27,1,8348,0,100.0,39,0.0,5,2974,9,2,16,1,4,4,1,4,2,0.0,6,0,0,0,phishing
1,10,27,1,8348,0,0.0,99,0.080808081,4,2974,16,1,15,2,1,7,1,1,2,0.0,6,2,0,0,phishing
1,4,118,2203390,6989,1,90.0,45,0.0,3,315,19,0,27,3,3,3,1,3,2,0.0,19,1,0,0,legitimate
1,5,21,0,5615,0,25.0,60,0.033333333,1,228,18,2,35,3,2,4,1,1,5,0.057142857,18,1,0,0,phishing
0,5,0,4053,9327,0,0.0,74,0.081081081,7,1630,9,0,19,2,1,10,1,1,3,0.0,7,0,0,0,legitimate
0,4,54,6010,3561,1,57.14285714,61,0.0,3,92,8,0,18,3,4,4,1,3,3,0.0,5,3,0,0,legitimate
0,5,0,0,5614,0,0.0,40,0.125,1,230,15,0,32,1,0,2,1,1,4,0.15625,15,0,0,0,phishing
1,1,0,0,5408,1,0.0,52,0.038461538,3,148,16,0,24,5,4,4,1,3,3,0.0,16,0,0,0,phishing
1,10,1,1,8346,0,0.0,88,0.0,5,2976,10,0,24,3,3,4,0,3,7,0.0,7,1,0,0,phishing
0,5,167,24587,5877,0,100.0,74,0.027027027,8,3253,10,0,12,2,4,4,1,4,2,0.0,8,0,0,1,legitimate
1,7,849,827,2633,1,96.4504284,46,0.065217391,3,288,8,0,16,4,3,4,1,3,2,0.0,8,1,0,0,legitimate
0,4,0,1680566,6512,1,0.0,54,0.0,3,792,13,0,17,4,3,4,1,3,3,0.0,9,0,0,0,legitimate
1,0,5,0,-1,0,50.0,54,0.0,7,0,10,1,21,3,6,6,1,6,1,0.0,10,1,0,0,phishing
1,7,385,12,7134,0,70.37037037,38,0.0,2,901,9,0,16,0,3,4,0,2,2,0.0,9,0,0,0,legitimate
0,6,212,1294,9394,1,23.68421053,67,0.0,3,102,10,0,15,6,3,5,0,3,2,0.0,7,3,0,0,legitimate
1,0,0,0,5044,0,0.0,62,0.0,10,0,10,2,13,0,2,7,1,2,5,0.0,10,1,0,0,phishing
1,0,13,0,2573,0,100.0,59,0.06779661,13,1078,13,1,17,1,3,6,1,3,3,0.0,13,0,0,0,phishing
1,4,0,7048,1246,0,0.0,57,0.01754386,4,944,18,0,38,0,4,3,1,4,4,0.026315789,18,0,0,0,phishing
0,3,44,8400,2872,0,100.0,32,0.0,8,50,8,0,12,2,3,4,0,3,1,0.0,8,1,0,0,legitimate
1,1,0,0,4537,1,0.0,46,0.0,3,212,17,0,25,3,4,5,1,3,2,0.0,17,0,0,0,phishing
0,7,199,12,7133,0,74.07407407,37,0.0,2,902,9,0,16,0,4,4,0,2,2,0.0,9,0,0,0,legitimate
1,5,14,0,7295,0,14.28571429,36,0.027777778,8,374,16,0,29,1,0,2,1,8,2,0.034482759,16,0,0,0,phishing
1,2,1,8238037,973,0,0.0,52,0.038461538,14,123,14,1,18,1,2,7,1,2,2,0.0,14,0,0,0,phishing
1,5,5,0,7296,0,0.0,32,0.25,8,374,11,0,24,8,0,3,1,8,2,0.333333333,11,0,1,0,phishing
0,10,25,63,7491,0,0.0,34,0.0,7,179,14,0,11,2,14,3,1,7,1,0.0,7,0,0,0,legitimate
0,2,33,479698,-1,1,10.0,27,0.0,3,413,9,0,19,3,0,3,1,3,3,0.0,9,0,0,0,legitimate
1,1,11,0,-1,0,0.0,92,0.304347826,15,0,32,3,22,5,2,8,1,2,2,0.0,15,1,1,0,phishing
0,5,148,43102,8442,1,35.71428571,102,0.058823529,3,323,22,0,12,3,3,7,1,3,2,0.0,4,7,0,0,legitimate
0,3,181,2426481,2277,1,81.03448276,32,0.0,3,2470,15,0,23,3,0,3,1,3,2,0.0,15,0,0,0,legitimate
0,3,81,0,1800,1,20.0,29,0.0,3,27,12,0,20,4,0,3,1,3,2,0.0,12,0,0,0,legitimate
1,4,98,0,-1,0,82.60869565,119,0.008403361,2,1011,17,3,24,3,2,9,1,2,4,0.0,17,1,0,1,phishing
0,4,129,3862928,3952,1,50.0,59,0.06779661,3,65,13,1,21,4,4,6,1,3,2,0.0,13,0,0,0,legitimate
0,4,98,128132,4855,0,52.94117647,54,0.0,15,258,15,0,19,1,3,3,1,3,2,0.0,15,2,0,0,legitimate
1,0,45,0,166,0,10.0,151,0.271523179,7,201,110,0,10,10,3,3,1,3,3,0.0,7,1,1,0,phishing
0,4,38,52436,4093,1,53.84615385,84,0.035714286,3,654,17,0,25,6,1,5,1,1,3,0.0,17,5,0,0,legitimate
1,2,41,1080262,-1,0,93.33333333,55,0.0,3,0,8,3,10,0,2,6,1,2,3,0.0,3,1,0,0,phishing
0,2,437,294723,-1,0,75.0,18,0.0,6,0,6,0,9,0,0,3,0,6,1,0.0,6,0,0,0,legitimate
0,10,137,8,8516,1,100.0,39,0.0,3,2808,14,0,16,4,14,3,0,3,2,0.0,8,0,0,0,legitimate
0,3,218,381695,7689,1,56.25,28,0.0,3,347,6,0,19,3,0,3,1,3,2,0.0,6,1,0,0,legitimate
0,5,31,86462,5913,1,86.95652174,32,0.0,3,295,4,0,16,4,3,3,1,3,3,0.0,4,1,0,0,legitimate
0,2,139,2346124,-1,0,81.29032258,16,0.0,4,0,4,0,9,0,0,2,0,4,1,0.0,4,0,0,0,legitimate
1,0,0,0,4141,0,0.0,23,0.0,8,241,8,0,12,0,2,4,1,2,1,0.0,8,0,0,0,phishing
0,4,104,0,4664,1,5.128205128,29,0.0,3,85,11,0,21,3,0,3,1,3,3,0.0,11,0,0,0,legitimate
0,0,124,0,317,1,0.0,29,0.0,3,49,13,0,20,3,0,3,1,3,2,0.0,13,0,0,0,phishing
0,5,65,44445,4566,1,62.06896552,41,0.0,3,2009,11,0,15,4,5,4,1,3,2,0.0,7,0,0,0,legitimate
1,9,16,3523,-1,0,0.0,22,0.181818182,3,0,7,0,6,0,7,3,1,3,1,0.0,3,0,0,0,phishing
1,0,2,0,657,1,0.0,52,0.038461538,3,438,7,0,14,4,3,5,1,3,3,0.0,6,0,0,0,phishing
1,2,1,9412550,-1,1,0.0,38,0.026315789,3,0,13,0,20,3,1,6,1,1,3,0.0,13,0,0,0,phishing
0,2,77,0,-1,1,13.04347826,30,0.0,3,0,10,0,21,3,0,3,1,3,3,0.0,10,0,0,0,legitimate
1,0,51,5707171,3993,0,100.0,76,0.105263158,3,25,15,0,50,7,2,4,1,2,4,0.0,13,1,1,0,phishing
1,0,21,0,-1,1,33.33333333,430,0.039534884,2,0,10,3,13,10,1,21,1,1,24,0.769230769,3,0,1,2,phishing
1,4,38,212735,4823,0,25.0,37,0.0,2,291,12,0,19,0,10,3,0,2,2,0.0,12,0,0,0,legitimate
0,6,61,545,11046,0,27.77777778,73,0.068493151,5,277,13,0,23,3,3,3,0,3,3,0.0,13,5,0,0,legitimate
1,0,0,0,2939,1,0.0,56,0.107142857,3,347,9,0,15,3,3,5,1,3,2,0.0,7,0,0,0,phishing
1,5,52,12180,3385,0,100.0,70,0.0,9,2825,9,0,13,2,1,5,1,1,1,0.0,9,7,0,0,legitimate
1,5,0,0,7802,0,0.0,70,0.0,4,517,13,0,20,1,4,5,1,4,3,0.0,12,0,0,0,phishing
1,5,83,241891,-1,1,33.33333333,52,0.076923077,3,120,11,0,19,3,4,5,1,3,2,0.0,11,1,0,0,legitimate
0,2,24,3913090,5366,1,0.0,31,0.0,3,113,7,0,22,3,0,3,1,3,2,0.0,7,1,0,0,legitimate
1,1,52,0,2112,2,0.0,90,0.244444444,3,79,32,1,19,12,3,6,1,3,4,0.0,11,0,1,0,phishing
0,3,315,2272,7156,0,71.69811321,45,0.155555556,3,150,8,0,15,1,3,5,1,3,3,0.0,8,0,1,0,legitimate
0,4,77,145276,7602,1,11.11111111,55,0.036363636,3,1164,12,0,20,4,4,4,0,3,3,0.05,12,0,0,0,legitimate
1,0,5,0,135,1,0.0,65,0.076923077,3,230,15,0,12,4,2,6,1,2,3,0.166666667,4,2,0,0,phishing
1,2,184,4669,1546,0,29.62962963,41,0.073170732,5,644,13,0,33,4,0,3,1,5,2,0.090909091,13,1,0,0,phishing
1,0,582,0,7,0,7.391304348,71,0.169014085,6,358,14,0,25,0,3,4,1,3,2,0.0,14,1,1,1,phishing
1,10,10,1,8348,0,0.0,83,0.072289157,5,2973,33,1,16,2,1,7,0,1,2,0.0,6,0,0,1,phishing
1,0,14,0,-1,0,0.0,73,0.342465753,14,321,32,0,18,1,5,5,1,5,1,0.0,14,1,1,0,phishing
1,0,4,0,184,0,100.0,44,0.204545455,3,182,11,0,30,1,6,3,1,3,2,0.1,11,2,0,0,phishing
0,3,1,819233,2403,1,0.0,114,0.052631579,3,154,16,2,16,8,2,8,1,2,4,0.0,8,1,0,1,phishing
1,0,51,5697976,3992,0,100.0,127,0.157480315,3,25,17,0,50,2,2,4,1,2,4,0.0,13,1,1,1,phishing
0,0,32,0,254,0,0.0,99,0.070707071,3,112,44,0,20,4,2,4,1,2,4,0.0,12,0,0,1,phishing
1,1,38,0,6041,1,0.0,56,0.0,3,169,7,1,20,3,5,7,1,3,2,0.0,7,1,0,0,phishing
1,7,147,2788,7284,1,16.66666667,51,0.0,3,1847,12,0,17,3,4,4,0,3,3,0.0,9,0,0,0,legitimate
1,0,4,0,-1,0,100.0,51,0.0,7,0,7,3,14,2,3,4,1,3,5,0.0,7,0,0,0,phishing
0,3,98,1166803,-1,1,66.66666667,40,0.0,3,0,13,0,24,3,2,5,0,2,2,0.0,13,1,0,0,legitimate
1,1,145,5692030,5111,1,87.5,33,0.0,3,0,5,1,14,3,1,6,1,1,3,0.0,4,0,0,0,phishing
0,5,296,88431,8024,0,90.90909091,88,0.0,7,2202,9,0,20,3,3,6,0,3,2,0.0,8,5,0,0,legitimate
0,7,161,5488,5993,1,75.0,122,0.049180328,3,946,10,0,18,3,4,5,1,3,2,0.0,10,0,0,0,legitimate
0,4,53,188662,2684,1,100.0,53,0.0,3,237,12,0,20,3,3,4,1,3,3,0.0,12,0,0,0,legitimate
1,1,3,23941,725,0,0.0,46,0.086956522,2,0,6,0,37,2,0,3,1,2,6,0.108108108,6,1,0,0,phishing
1,5,14,0,7295,0,14.28571429,36,0.0,8,374,16,0,29,0,0,2,1,8,2,0.0,16,0,0,0,phishing
0,4,64,3847776,3754,1,10.0,31,0.0,3,264,15,0,23,4,0,3,1,3,2,0.0,15,0,0,0,legitimate
0,5,154,299694,5381,1,100.0,48,0.0,3,827,8,0,16,3,1,6,0,1,2,0.0,8,2,0,0,legitimate
1,2,38,0,3743,0,40.0,101,0.0,3,275,19,1,6,0,3,5,1,3,2,0.0,3,0,0,1,phishing
0,3,0,435027,5416,1,0.0,41,0.0,3,62,11,0,19,4,3,4,1,3,3,0.0,11,0,0,0,legitimate
1,0,1,0,1901,0,0.0,43,0.093023256,4,290,10,1,35,0,0,3,1,4,4,0.114285714,10,0,0,0,phishing
0,2,0,0,3937,0,0.0,15,0.0,5,81,5,0,8,0,0,2,0,5,1,0.0,5,0,0,0,legitimate
1,4,37,1677903,6668,1,37.5,42,0.071428571,3,1001,9,0,10,3,1,3,1,1,3,0.0,3,3,0,0,legitimate
0,5,157,225825,4413,0,42.7184466,51,0.0,11,3621,11,0,15,1,3,4,0,3,1,0.0,11,3,0,0,legitimate
1,0,0,0,3983,1,0.0,48,0.0,2,361,6,0,27,3,3,4,1,2,3,0.0,6,3,0,0,phishing
0,5,209,81846,7732,0,76.66666667,49,0.0,15,304,15,0,19,1,3,5,1,3,1,0.0,15,0,0,0,legitimate
0,1,22,0,2647,0,75.0,25,0.0,3,275,5,0,13,0,1,3,1,1,1,0.0,5,1,0,1,phishing
0,7,326,121,9285,1,73.68421053,49,0.020408163,3,59,8,0,15,3,1,5,0,1,2,0.0,7,2,0,0,legitimate
0,5,141,1577,8047,0,40.0,48,0.020833333,7,353,13,0,25,2,3,3,0,3,3,0.0,13,1,0,0,legitimate
1,0,10,0,531,1,0.0,108,0.037037037,3,200,23,3,25,4,2,6,0,2,4,0.0,17,1,0,1,phishing
1,0,0,0,1028,0,0.0,39,0.0,17,0,17,0,20,2,4,4,0,4,2,0.0,17,0,0,0,phishing
1,4,146,1137149,5334,1,65.71428571,80,0.0,3,145,10,0,20,4,3,5,1,3,4,0.0,9,3,0,0,legitimate
1,4,60,2368410,7602,1,14.54545455,36,0.0,3,69,9,0,17,3,4,3,1,3,2,0.0,9,1,0,0,legitimate
0,4,416,1119897,6460,1,13.04347826,28,0.0,3,161,6,0,19,4,0,3,1,3,2,0.0,6,1,0,0,legitimate
1,3,8,4365,1953,0,0.0,33,0.060606061,3,2430,10,1,14,2,10,3,1,3,2,0.0,5,0,0,0,phishing
0,4,168,7600,-1,1,17.46031746,23,0.0,3,1156,3,0,14,3,0,3,0,3,3,0.0,3,0,0,0,legitimate
0,8,319,137,5224,1,19.16666667,77,0.0,3,984,10,0,18,3,2,4,1,2,2,0.0,10,5,0,0,legitimate
1,2,31,1554194,-1,1,0.0,342,0.415204678,3,0,34,1,19,17,2,5,1,2,5,0.0,8,6,1,0,phishing
1,2,3,0,189,0,0.0,38,0.131578947,6,177,9,0,29,1,0,3,1,6,2,0.172413793,9,1,0,0,phishing
1,5,148,38365,6203,1,25.92592593,73,0.0,3,7,14,2,22,3,4,4,1,3,2,0.0,14,5,0,0,legitimate
0,10,53,2,5639,1,0.0,33,0.0,3,204,7,0,15,3,4,4,0,3,2,0.0,7,0,0,0,legitimate
1,2,0,7811868,1785,1,0.0,67,0.0,3,42,9,0,17,5,2,6,1,2,3,0.0,9,1,0,0,phishing
1,5,72,15489,6431,0,56.14035088,39,0.051282051,5,873,9,0,18,0,2,4,0,2,2,0.0,8,0,0,0,legitimate
0,4,323,219358,2254,1,46.66666667,24,0.0,3,302,7,0,15,3,0,3,0,3,2,0.0,7,0,0,0,legitimate
0,3,53,543542,-1,1,85.0,26,0.0,3,0,10,0,17,4,0,3,0,3,2,0.0,10,0,0,0,legitimate
0,6,0,21542,9253,0,0.0,39,0.128205128,3,245,6,0,7,0,3,6,1,3,2,0.0,3,0,0,0,legitimate
1,0,0,0,5825,1,0.0,62,0.35483871,3,18,32,0,22,5,32,3,1,3,3,0.0,7,1,1,0,phishing
1,1,41,507771,1899,0,0.0,41,0.0,9,292,9,2,13,1,3,4,1,3,2,0.0,9,1,0,0,phishing
1,5,14,0,7295,0,14.28571429,40,0.0,8,374,18,0,31,0,0,3,1,8,2,0.0,18,0,0,0,phishing
0,3,8,632334,4120,1,50.0,51,0.0,3,262,9,0,26,3,4,3,1,3,3,0.0,9,2,0,0,legitimate
1,5,665,7053,3650,1,95.0,59,0.06779661,3,366,8,0,12,3,3,5,0,3,2,0.0,5,3,0,0,legitimate
0,6,77,2580,8044,1,75.0,50,0.0,3,3483,12,0,20,3,1,5,1,1,3,0.0,12,0,0,0,legitimate
1,0,103,0,6831,1,0.0,52,0.057692308,2,0,18,0,25,3,18,4,1,2,2,0.04,13,1,0,0,phishing
1,0,21,0,3904,0,44.44444444,43,0.0,11,114,11,0,15,0,2,4,1,2,2,0.0,11,1,0,0,phishing
1,3,57,0,4183,0,10.0,94,0.127659574,8,278,30,0,42,6,2,5,1,2,3,0.071428571,30,4,0,0,phishing
0,3,77,62284,2403,1,83.33333333,60,0.0,3,519,15,0,15,4,3,4,0,3,4,0.0,7,0,0,0,legitimate
0,2,105,1111694,-1,0,12.5,18,0.0,6,0,6,0,11,0,0,2,0,6,1,0.0,6,0,0,0,legitimate
0,7,12,892,7968,0,0.0,204,0.132352941,7,3353,65,1,27,2,1,5,1,1,2,0.0,15,1,0,1,phishing
0,10,1,1,8346,0,0.0,94,0.159574468,5,2975,19,1,24,2,3,4,0,3,7,0.0,7,0,1,0,phishing
1,0,20,0,-1,0,0.0,41,0.0,3,170,7,0,33,1,0,3,1,3,4,0.0,7,1,0,0,phishing
1,0,45,0,1154,0,0.0,19,0.157894737,1,307,5,0,11,0,0,3,1,1,2,0.272727273,5,0,0,0,phishing
1,0,0,0,3608,0,0.0,35,0.028571429,3,44,14,0,22,0,1,3,1,1,2,0.045454545,14,1,0,0,phishing
1,2,23,0,2870,0,60.0,63,0.0,22,51,22,0,26,1,3,6,1,3,3,0.0,22,0,0,0,phishing
1,0,0,0,5972,1,0.0,53,0.075471698,3,237,13,0,21,5,3,6,1,3,2,0.0,13,0,0,0,phishing
1,5,21,0,5616,0,25.0,75,0.0,1,228,9,1,44,2,1,6,1,1,4,0.0,7,3,0,0,phishing
1,3,24,0,6381,0,0.0,35,0.114285714,8,0,15,0,27,0,0,2,1,8,2,0.148148148,15,0,0,0,phishing
0,10,0,1,8348,2,0.0,210,0.066666667,3,2974,40,0,14,15,1,3,1,1,4,0.0,6,1,0,1,phishing
0,5,109,128305,4825,0,43.47826087,44,0.0,9,1384,9,0,13,1,5,3,1,5,1,0.0,9,2,0,0,legitimate
1,0,8,0,4405,0,0.0,150,0.486666667,3,343,88,0,40,17,3,4,1,3,5,0.0,19,0,1,1,phishing
1,2,0,0,570,1,0.0,39,0.0,3,161,14,0,22,3,2,4,1,2,3,0.0,14,1,0,0,phishing
1,2,33,6240092,3381,1,70.0,64,0.0,3,0,8,2,15,3,3,9,1,3,2,0.0,8,1,0,0,phishing
0,3,0,4701900,4681,1,0.0,106,0.160377358,3,433,12,0,20,6,1,7,1,1,4,0.0,10,4,1,1,phishing
0,0,52,5496959,-1,0,100.0,34,0.0,7,0,9,0,20,0,4,4,0,4,2,0.0,9,0,0,0,phishing
0,7,822,12,7133,0,63.92694064,65,0.0,2,901,13,0,16,1,2,4,0,2,2,0.0,9,0,0,0,legitimate
1,2,33,10725245,2290,1,70.0,60,0.033333333,3,266,7,3,14,3,2,8,1,2,3,0.142857143,7,1,0,0,phishing
1,0,7,0,896,0,0.0,25,0.0,10,200,10,0,14,0,2,4,1,2,1,0.0,10,0,0,0,phishing
0,5,182,11507,6901,1,11.94029851,39,0.128205128,3,1865,13,0,21,5,4,4,1,3,2,0.0,13,0,0,0,legitimate
0,4,335,207904,3899,1,89.74358974,38,0.0,3,118,5,0,15,3,3,4,0,3,3,0.0,4,1,0,0,legitimate
1,0,11,9675493,-2,0,0.0,129,0.023255814,4,213,15,0,8,0,1,6,1,1,2,0.0,4,1,0,1,phishing
0,5,280,18386,9224,1,31.57894737,52,0.0,3,342,8,0,15,3,2,5,0,2,2,0.0,7,2,0,0,legitimate
1,0,0,0,-1,0,0.0,30,0.366666667,2,0,7,0,14,2,2,4,1,2,3,0.785714286,3,0,1,0,phishing
0,8,105,0,7449,0,33.33333333,33,0.0,9,586,10,0,24,4,0,3,1,9,2,0.0,10,0,0,0,legitimate
0,4,8,0,7287,0,0.0,118,0.076271186,7,2184,15,0,27,12,4,5,0,4,3,0.0,15,6,1,0,legitimate
0,2,58,8571696,2625,0,100.0,27,0.0,6,0,10,0,20,0,0,2,1,6,1,0.0,10,1,0,0,legitimate
0,6,0,1465,11192,0,0.0,78,0.166666667,4,495,7,0,16,5,1,9,1,1,3,0.0,7,0,0,0,legitimate
1,2,7,0,2839,0,0.0,35,0.028571429,5,83,11,0,27,3,0,3,1,5,2,0.037037037,11,1,0,0,phishing
1,0,140,5497323,-1,0,96.0,32,0.0,2,0,12,0,18,0,5,4,1,2,1,0.0,12,1,0,0,phishing
1,5,22,0,5615,0,25.0,64,0.0625,1,228,9,2,39,2,2,4,1,1,5,0.102564103,9,3,0,0,phishing
1,2,3,0,189,0,0.0,38,0.078947368,6,177,9,0,29,0,0,3,1,6,2,0.103448276,9,1,0,0,phishing
0,4,67,179875,4996,1,100.0,24,0.0,3,1213,4,0,15,4,0,3,1,3,3,0.0,4,0,0,0,legitimate
0,5,49,24047,3526,1,93.33333333,68,0.0,3,127,22,0,15,5,4,5,1,3,3,0.0,7,0,0,0,legitimate
